#,stock_tick,stock_marketName,stock_isInfoAvailable
242,004150,KOSPI,1
243,004170,KOSPI,1
244,004250,KOSPI,1
245,004255,KOSPI,1
246,004270,KOSPI,1
247,004310,KOSPI,1
248,004360,KOSPI,1
249,004365,KOSPI,1
250,004370,KOSPI,1
251,004380,KOSPI,1
252,004410,KOSPI,1
253,004415,KOSPI,1
254,004430,KOSPI,1
255,004440,KOSPI,1
256,004450,KOSPI,1
257,004490,KOSPI,1
258,004540,KOSPI,1
259,004545,KOSPI,1
260,004560,KOSPI,1
261,004565,KOSPI,1
262,004590,KOSDAQ,1
263,004650,KOSDAQ,1
264,004690,KOSPI,1
265,004700,KOSPI,1
266,004710,KOSPI,1
267,004720,KOSPI,1
268,004770,KOSPI,1
269,004780,KOSDAQ,1
270,004800,KOSPI,1
271,004830,KOSPI,1
272,004835,KOSPI,1
273,004840,KOSPI,1
274,004870,KOSPI,1
275,004890,KOSPI,1
276,004910,KOSPI,1
277,004920,KOSPI,1
278,004960,KOSPI,1
279,004970,KOSPI,1
280,004980,KOSPI,1
281,004985,KOSPI,1
282,004990,KOSPI,1
283,00499K,KOSPI,1
284,005010,KOSPI,1
285,005030,KOSPI,1
286,005070,KOSPI,1
287,005090,KOSPI,1
288,005110,KOSPI,1
289,005160,KOSDAQ,1
290,005180,KOSPI,1
291,005250,KOSPI,1
292,005257,KOSPI,1
293,005290,KOSDAQ,1
294,005300,KOSPI,1
295,005305,KOSPI,1
296,005320,KOSPI,1
297,005360,KOSPI,1
298,005380,KOSPI,1
299,005385,KOSPI,1
300,005387,KOSPI,1
301,005389,KOSPI,1
302,005390,KOSPI,1
303,005420,KOSPI,1
304,005430,KOSPI,1
305,005440,KOSPI,1
306,005490,KOSPI,1
307,005500,KOSPI,1
308,005610,KOSPI,1
309,005670,KOSDAQ,1
310,005680,KOSPI,1
311,005690,KOSPI,1
312,005710,KOSDAQ,1
313,005720,KOSPI,1
314,005725,KOSPI,1
315,005740,KOSPI,1
316,005745,KOSPI,1
317,005750,KOSPI,1
318,005800,KOSPI,1
319,005810,KOSPI,1
320,005820,KOSPI,1
321,005830,KOSPI,1
322,005850,KOSPI,1
323,005860,KOSDAQ,1
324,005870,KOSPI,1
325,005880,KOSPI,1
326,005930,KOSPI,1
327,005935,KOSPI,1
328,005940,KOSPI,1
329,005945,KOSPI,1
330,005950,KOSPI,1
331,005960,KOSPI,1
332,005965,KOSPI,1
333,005990,KOSDAQ,1
334,006040,KOSPI,1
335,006050,KOSDAQ,1
336,006060,KOSPI,1
337,006090,KOSPI,1
338,006110,KOSPI,1
339,006120,KOSPI,1
340,006125,KOSPI,1
341,006140,KOSDAQ,1
342,006200,KOSPI,1
343,006220,KOSPI,1
344,006260,KOSPI,1
345,006280,KOSPI,1
346,006340,KOSPI,1
347,006345,KOSPI,1
348,006360,KOSPI,1
349,006370,KOSPI,1
350,006380,KOSPI,1
351,006390,KOSPI,1
